title,company,location,source,url,salary,scraped_at,job_id
Senior Consultant Risikocontrolling / regulatorisches Risikomanagement - FSI (m/w/d) in Stuttgart,Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-risikocontrolling-regulatorisches-risikomanagement-fsi-m-w-d-in-stuttgart-at-deloitte-4268688259?position=18&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=LK30pB9p7A0QZ1duh5owJA%3D%3D,Not specified,2025-08-08 15:01:15.033074,https://de.linkedin.com/jobs/view/senior-consultant-risikocontrolling-regulatorisches-risikomanagement-fsi-m-w-d-in-stuttgart-at-deloitte-4268688259?position=18&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=lk30pb9p7a0qz1duh5owja%3d%3d
Abiturientenprogramm zum Geprüften Handelsfachwirt (m/w/d) Göppingen,NKD Deutschland GmbH,"Göppingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/abiturientenprogramm-zum-gepr%C3%BCften-handelsfachwirt-m-w-d-g%C3%B6ppingen-at-nkd-deutschland-gmbh-4281905170?position=19&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=N5%2BzakmCkD8UsnvoSRqcAw%3D%3D,Not specified,2025-08-08 15:01:15.033123,https://de.linkedin.com/jobs/view/abiturientenprogramm-zum-gepr%c3%bcften-handelsfachwirt-m-w-d-g%c3%b6ppingen-at-nkd-deutschland-gmbh-4281905170?position=19&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=n5%2bzakmckd8usnvosrqcaw%3d%3d
Data Scientist,7Learnings,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-at-7learnings-4279871935?position=1&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=cPa%2BctZPon14X5egx4csrg%3D%3D,Not specified,2025-08-08 15:01:18.009110,https://de.linkedin.com/jobs/view/data-scientist-at-7learnings-4279871935?position=1&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=cpa%2bctzpon14x5egx4csrg%3d%3d
Data Scientist FinTech (d/m/w) Berlin,The Formula Consulting,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-fintech-d-m-w-berlin-at-the-formula-consulting-4281394464?position=2&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=qPMpMTca7v0bSU%2BpCAI2wA%3D%3D,Not specified,2025-08-08 15:01:18.009174,https://de.linkedin.com/jobs/view/data-scientist-fintech-d-m-w-berlin-at-the-formula-consulting-4281394464?position=2&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=qpmpmtca7v0bsu%2bpcai2wa%3d%3d
Director of Data Science Berlin,Vestiaire Collective,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/director-of-data-science-berlin-at-vestiaire-collective-4251874764?position=3&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=hvyvjTP6DRDDTMPi8eedUA%3D%3D,Not specified,2025-08-08 15:01:18.009220,https://de.linkedin.com/jobs/view/director-of-data-science-berlin-at-vestiaire-collective-4251874764?position=3&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=hvyvjtp6drddtmpi8eedua%3d%3d
Data Scientist,7Learnings,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-at-7learnings-4279877675?position=4&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=GzMCy649J9764Wk4fPfQFg%3D%3D,Not specified,2025-08-08 15:01:18.009268,https://de.linkedin.com/jobs/view/data-scientist-at-7learnings-4279877675?position=4&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=gzmcy649j9764wk4fpfqfg%3d%3d
Senior ML Engineer,Solid Labs,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-ml-engineer-at-solid-labs-4240087496?position=5&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=vqshWvHWUIJ%2FMPdonuZpOw%3D%3D,Not specified,2025-08-08 15:01:18.009313,https://de.linkedin.com/jobs/view/senior-ml-engineer-at-solid-labs-4240087496?position=5&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=vqshwvhwuij%2fmpdonuzpow%3d%3d
Product Analyst (Quick Commerce),Delivery Hero,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/product-analyst-quick-commerce-at-delivery-hero-4281342702?position=6&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=rcZVDJxgHKimUrDQfuLf8Q%3D%3D,Not specified,2025-08-08 15:01:18.009356,https://de.linkedin.com/jobs/view/product-analyst-quick-commerce-at-delivery-hero-4281342702?position=6&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=rczvdjxghkimurdqfulf8q%3d%3d
Applied Scientist - Assortment Recommendation (all genders),Zalando,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/applied-scientist-assortment-recommendation-all-genders-at-zalando-4267785430?position=7&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=xuhEF0rJ4lDlOi1xyoAO3w%3D%3D,Not specified,2025-08-08 15:01:18.009400,https://de.linkedin.com/jobs/view/applied-scientist-assortment-recommendation-all-genders-at-zalando-4267785430?position=7&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=xuhef0rj4ldloi1xyoao3w%3d%3d
Data Science Solutions Engineer (m/f/d),ZEIT Verlagsgruppe,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-science-solutions-engineer-m-f-d-at-zeit-verlagsgruppe-4279891535?position=9&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=dOnIOMRxr27vFT0lIExmMg%3D%3D,Not specified,2025-08-08 15:01:18.009488,https://de.linkedin.com/jobs/view/data-science-solutions-engineer-m-f-d-at-zeit-verlagsgruppe-4279891535?position=9&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=doniomrxr27vft0liexmmg%3d%3d
