title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Senior Machine Learning Engineer,Enigma,"Baden-Württemberg, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4287380057?position=1&pageNum=0&refId=u8eHC6KX7WZsinHQB4kynw%3D%3D&trackingId=eY%2BBFWBmwjg46sZ4uIRkFg%3D%3D,Not specified,2025-08-18 11:45:33.119202,2025-08-18,,de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4287380057
Informatik - Künstliche Intelligenz (B.Sc.) 2025,Siemens,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/informatik-k%C3%BCnstliche-intelligenz-b-sc-2025-at-siemens-4250268988?position=2&pageNum=0&refId=u8eHC6KX7WZsinHQB4kynw%3D%3D&trackingId=BEHp31AhyYB6ib4UA1jE3Q%3D%3D,Not specified,2025-08-18 11:45:33.120674,2025-08-17,,de.linkedin.com/jobs/view/informatik-k%C3%BCnstliche-intelligenz-b-sc-2025-at-siemens-4250268988
Technical Expert Databricks (m/w/d),TieTalent,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/technical-expert-databricks-m-w-d-at-tietalent-4287305301?position=6&pageNum=0&refId=u8eHC6KX7WZsinHQB4kynw%3D%3D&trackingId=sLUhGIO2gDnXEAFthC24YQ%3D%3D,Not specified,2025-08-18 11:45:33.121254,2025-08-17,,de.linkedin.com/jobs/view/technical-expert-databricks-m-w-d-at-tietalent-4287305301
Technical Expert Databricks (m/w/d),TieTalent,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/technical-expert-databricks-m-w-d-at-tietalent-4287084965?position=7&pageNum=0&refId=u8eHC6KX7WZsinHQB4kynw%3D%3D&trackingId=Y64bT8Y0U5cDZSc1GdG4rw%3D%3D,Not specified,2025-08-18 11:45:33.121392,2025-08-17,,de.linkedin.com/jobs/view/technical-expert-databricks-m-w-d-at-tietalent-4287084965
Machine Learning Engineer,ai|coustics,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/machine-learning-engineer-at-ai-coustics-4284730708?position=1&pageNum=0&refId=6lr1sAGNc2yL%2B%2Bbi8t9mMQ%3D%3D&trackingId=Pyb93Wa%2FGooBhBHNC4bgQw%3D%3D,Not specified,2025-08-18 11:45:46.221571,2025-08-17,,de.linkedin.com/jobs/view/machine-learning-engineer-at-ai-coustics-4284730708
AI Engineer,ALFI AI,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/ai-engineer-at-alfi-ai-4280770917?position=2&pageNum=0&refId=6lr1sAGNc2yL%2B%2Bbi8t9mMQ%3D%3D&trackingId=wGUUacYYVHt1vkG7M8AcBg%3D%3D,Not specified,2025-08-18 11:45:46.221710,2025-08-18,,de.linkedin.com/jobs/view/ai-engineer-at-alfi-ai-4280770917
Senior Principal ML Engineer (All Genders),Zalando,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/senior-principal-ml-engineer-all-genders-at-zalando-4249667828?position=11&pageNum=0&refId=6lr1sAGNc2yL%2B%2Bbi8t9mMQ%3D%3D&trackingId=mNt%2B6TLiVCD5w69U6GQ78Q%3D%3D,Not specified,2025-08-18 11:45:46.222801,2025-08-17,,de.linkedin.com/jobs/view/senior-principal-ml-engineer-all-genders-at-zalando-4249667828
Senior Specialist Commercial Planning & Forecasting,AUTODOC,"Berlin, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/senior-specialist-commercial-planning-forecasting-at-autodoc-4287373556?position=12&pageNum=0&refId=6lr1sAGNc2yL%2B%2Bbi8t9mMQ%3D%3D&trackingId=7S4U1KKIUOOe0QLpASJAPQ%3D%3D,Not specified,2025-08-18 11:45:46.222919,2025-08-18,,de.linkedin.com/jobs/view/senior-specialist-commercial-planning-forecasting-at-autodoc-4287373556
Senior Data Engineer (all genders),PŸUR | Tele Columbus,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-engineer-all-genders-at-p%C3%BFur-tele-columbus-4287331691?position=16&pageNum=0&refId=6lr1sAGNc2yL%2B%2Bbi8t9mMQ%3D%3D&trackingId=UGdUaEtV4ITu%2BTDKXWi7yw%3D%3D,Not specified,2025-08-18 11:45:46.223445,2025-08-18,,de.linkedin.com/jobs/view/senior-data-engineer-all-genders-at-p%C3%BFur-tele-columbus-4287331691
"BI Consultant | Business Intelligence, Beratung, Projekte, Power Plattform, Cognos, Cubeware (mwd)",Vesterling AG,Wiesbaden,LinkedIn,https://de.linkedin.com/jobs/view/bi-consultant-business-intelligence-beratung-projekte-power-plattform-cognos-cubeware-mwd-at-vesterling-ag-4236770525?position=9&pageNum=0&refId=%2FDck8twSTz4QRxHUvY1E1A%3D%3D&trackingId=8GhbfZob%2FXKLqLCz3sEGzA%3D%3D,Not specified,2025-08-18 11:45:59.305775,2025-08-17,,de.linkedin.com/jobs/view/bi-consultant-business-intelligence-beratung-projekte-power-plattform-cognos-cubeware-mwd-at-vesterling-ag-4236770525
