title,company,location,source,url,salary,scraped_at,job_id
(Junior) Data Scientist (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-data-scientist-all-genders-at-dymatrix-4279883821?position=1&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=TV4ODeFHG0D%2B%2BFp%2BcrRMMA%3D%3D,Not specified,2025-08-08 14:32:00.183340,https://de.linkedin.com/jobs/view/junior-data-scientist-all-genders-at-dymatrix-4279883821?position=1&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=tv4odefhg0d%2b%2bfp%2bcrrmma%3d%3d
Junior Consultant Customer Analytics (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-consultant-customer-analytics-all-genders-at-dymatrix-4279882942?position=2&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=OPUQ0wFEiyN69t06u994Vw%3D%3D,Not specified,2025-08-08 14:32:00.184196,https://de.linkedin.com/jobs/view/junior-consultant-customer-analytics-all-genders-at-dymatrix-4279882942?position=2&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=opuq0wfeiyn69t06u994vw%3d%3d
Senior Manager Data & AI,Resourcing Group,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-manager-data-ai-at-resourcing-group-4282124650?position=3&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=%2BRIROwuLfGeoM6r6tYgD3Q%3D%3D,Not specified,2025-08-08 14:32:00.184246,https://de.linkedin.com/jobs/view/senior-manager-data-ai-at-resourcing-group-4282124650?position=3&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=%2brirowulfgeom6r6tygd3q%3d%3d
Consultant Data Engineering (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-data-engineering-all-genders-at-dymatrix-4279882937?position=4&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=E8uUqh%2BD4S7O6bAPkoapgQ%3D%3D,Not specified,2025-08-08 14:32:00.184292,https://de.linkedin.com/jobs/view/consultant-data-engineering-all-genders-at-dymatrix-4279882937?position=4&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=e8uuqh%2bd4s7o6bapkoapgq%3d%3d
KI Data Engineer (w/m/d),syngenio AG,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ki-data-engineer-w-m-d-at-syngenio-ag-4281658777?position=5&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=7aTJQ1Y7OaJMsdkhz48dqA%3D%3D,Not specified,2025-08-08 14:32:00.184337,https://de.linkedin.com/jobs/view/ki-data-engineer-w-m-d-at-syngenio-ag-4281658777?position=5&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=7atjq1y7oajmsdkhz48dqa%3d%3d
Junior Project Manager (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-project-manager-all-genders-at-dymatrix-4279881953?position=6&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=hKHGPx7oJt95GkOXHXUjzA%3D%3D,Not specified,2025-08-08 14:32:00.184381,https://de.linkedin.com/jobs/view/junior-project-manager-all-genders-at-dymatrix-4279881953?position=6&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=hkhgpx7ojt95gkoxhxujza%3d%3d
Technical Support Specialist,Infosys BPM,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/technical-support-specialist-at-infosys-bpm-4281807268?position=7&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=KptX7%2F2OGQ0aXE6vRxaHTw%3D%3D,Not specified,2025-08-08 14:32:00.184426,https://de.linkedin.com/jobs/view/technical-support-specialist-at-infosys-bpm-4281807268?position=7&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=kptx7%2f2ogq0axe6vrxahtw%3d%3d
Data Product Owner (m/w/d) // Remote möglich,Breuninger,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%C3%B6glich-at-breuninger-4282119985?position=8&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=CzgOyZCVYhJ33AcuaMoyBQ%3D%3D,Not specified,2025-08-08 14:32:00.184470,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%c3%b6glich-at-breuninger-4282119985?position=8&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=czgoyzcvyhj33acuamoybq%3d%3d
Senior data & analytics Consultant (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analytics-consultant-m-w-d-bundesweit-at-hso-4281387797?position=10&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=l5Xf7M%2BeutYC9U6Z9%2FMyVQ%3D%3D,Not specified,2025-08-08 14:32:00.184559,https://de.linkedin.com/jobs/view/senior-data-analytics-consultant-m-w-d-bundesweit-at-hso-4281387797?position=10&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=l5xf7m%2beutyc9u6z9%2fmyvq%3d%3d
Data Product Owner (m/w/d) // Remote möglich,Breuninger,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%C3%B6glich-at-breuninger-4282121793?position=12&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=8%2BxeUDs%2FTqcUCVSQLd40VQ%3D%3D,Not specified,2025-08-08 14:32:00.184647,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%c3%b6glich-at-breuninger-4282121793?position=12&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=8%2bxeuds%2ftqcucvsqld40vq%3d%3d
Funds and Operations Analyst,Booz Allen Hamilton,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/funds-and-operations-analyst-at-booz-allen-hamilton-4268851777?position=13&pageNum=0&refId=Rxli5QZxGN6RjBmNypsu0g%3D%3D&trackingId=tBw1qIoXzSiBCuEt1hERcA%3D%3D,Not specified,2025-08-08 14:32:00.184690,https://de.linkedin.com/jobs/view/funds-and-operations-analyst-at-booz-allen-hamilton-4268851777?position=13&pagenum=0&refid=rxli5qzxgn6rjbmnypsu0g%3d%3d&trackingid=tbw1qioxzsibcuet1herca%3d%3d
