title,company,location,source,url,salary,scraped_at
"Freelance Part-Time Exam Proctor (m, f, d)",Gisma University of Applied Sciences,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/freelance-part-time-exam-proctor-m-f-d-at-gisma-university-of-applied-sciences-4264603710?position=1&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=B1v%2FtemBx2WS2%2BFQ3sEPyw%3D%3D,Not specified,2025-08-07 16:19:48.102255
Spontaneous Application,Taktile,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/spontaneous-application-at-taktile-4122042147?position=2&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=4Ep2NiY4IX4ACxO6CxkRHA%3D%3D,Not specified,2025-08-07 16:19:48.103366
Performance Analyst,Wolt,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/performance-analyst-at-wolt-4252359661?position=3&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=ophxp3gwKocVRUpAA4OhMA%3D%3D,Not specified,2025-08-07 16:19:48.103419
Sales Data Analyst (Part-Time),Lovehoney Group,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/sales-data-analyst-part-time-at-lovehoney-group-4259386830?position=4&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=mq0qjcI5c85BRryseVSprA%3D%3D,Not specified,2025-08-07 16:19:48.103465
Talent wanted (all),mediaire,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/talent-wanted-all-at-mediaire-3953360339?position=5&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=9xGPVM61BIaXtNddRBZhHg%3D%3D,Not specified,2025-08-07 16:19:48.103510
Data Scientist - Berlin  (All Genders),Digitl,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-berlin-all-genders-at-digitl-4271738093?position=6&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=yJeUsD7dfFmbEJnbDHmL0w%3D%3D,Not specified,2025-08-07 16:19:48.103554
"Full-Time/Part-Time Lecturer of Computer/Data Science (m, f, d)",Gisma University of Applied Sciences,"Potsdam, Brandenburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-time-part-time-lecturer-of-computer-data-science-m-f-d-at-gisma-university-of-applied-sciences-4247177791?position=7&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=zLug4R3qNRsZ1tWJPPid8w%3D%3D,Not specified,2025-08-07 16:19:48.103599
"Full-Time/Part-Time Lecturer in Business, management and Digital Innovation (m/f/d)",Gisma University of Applied Sciences,"Potsdam, Brandenburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-time-part-time-lecturer-in-business-management-and-digital-innovation-m-f-d-at-gisma-university-of-applied-sciences-4247178738?position=8&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=L19EJ6OzIrig4Uiy%2BY2O9g%3D%3D,Not specified,2025-08-07 16:19:48.103642
Data Scientist,Vay,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-at-vay-4261049951?position=9&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=GuA%2Fp%2F7A0fh%2F0VMmvRThag%3D%3D,Not specified,2025-08-07 16:19:48.103685
Founders Associate (m/w/d),Beam AI,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/founders-associate-m-w-d-at-beam-ai-4280404997?position=10&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=hjIGjyFphOLgGkm3mKkY%2Fg%3D%3D,Not specified,2025-08-07 16:19:48.103728
Junior Machine Learning Engineer (m/f/d),Merantix Momentum,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-machine-learning-engineer-m-f-d-at-merantix-momentum-4274636913?position=11&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=Dt49zdbg4qibQg5jrLiqBQ%3D%3D,Not specified,2025-08-07 16:19:48.103775
Energy Analyst,Ember,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/energy-analyst-at-ember-4275634493?position=12&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=vSSMbxbAXxU7lhQbDSBUMQ%3D%3D,Not specified,2025-08-07 16:19:48.103818
Creative Strategist,Happy Mammoth,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/creative-strategist-at-happy-mammoth-4277295213?position=13&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=RO4mrP6FC%2BbYwy%2F76TxVXg%3D%3D,Not specified,2025-08-07 16:19:48.103861
Data Scientist,Agência Lynx,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-at-ag%C3%AAncia-lynx-4266972562?position=14&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=5sz1eeecOUoKO2gNE%2FLTFw%3D%3D,Not specified,2025-08-07 16:19:48.103903
Finance Analyst (m/f/d),charles,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/finance-analyst-m-f-d-at-charles-4263989095?position=15&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=7IKpoJP6LB%2Fmx%2B9NqKbDdA%3D%3D,Not specified,2025-08-07 16:19:48.103944
Creative Strategist,Meta,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/creative-strategist-at-meta-4245426428?position=16&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=HufmUi687jFwPyvQUWAqzw%3D%3D,Not specified,2025-08-07 16:19:48.103986
"Private Equity - Junior Analyst Internship (Lyon, France)",ARCHIMED,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/private-equity-junior-analyst-internship-lyon-france-at-archimed-4267750823?position=17&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=MPut85Y6Rlmg6KOQ6nHvWw%3D%3D,Not specified,2025-08-07 16:19:48.104028
"Director, Strategy and Operations",Taktile,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/director-strategy-and-operations-at-taktile-4273229430?position=18&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=fu4DnEoyco6LdAdK7GS%2B3w%3D%3D,Not specified,2025-08-07 16:19:48.104072
Data Scientist (m/f/x),Fuchs & Eule,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-m-f-x-at-fuchs-eule-4233872235?position=19&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=HUXepYy08jgTtrc%2BuZ%2BAXg%3D%3D,Not specified,2025-08-07 16:19:48.104116
Claims Data Analyst/Business Analyst. Healthcare,Trinetix,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/claims-data-analyst-business-analyst-healthcare-at-trinetix-4275349416?position=20&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=F1vHvOgaGU8DOGmkVCI7OQ%3D%3D,Not specified,2025-08-07 16:19:48.104158
ML Engineer,Ailoys,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ml-engineer-at-ailoys-4130085323?position=21&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=yBH0%2FSC2Wfj7wqyWJjJbmw%3D%3D,Not specified,2025-08-07 16:19:48.104200
Senior Data Analyst - People,Delivery Hero,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analyst-people-at-delivery-hero-4278938667?position=22&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=S5yFwdOM6dkwmMuFD8ORRg%3D%3D,Not specified,2025-08-07 16:19:48.104242
Application for general consideration - graduates/professionals (all genders),Berghof Foundation,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/application-for-general-consideration-graduates-professionals-all-genders-at-berghof-foundation-4153803224?position=23&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=GZcfeVQE0yNqMr0GUWoD0g%3D%3D,Not specified,2025-08-07 16:19:48.104283
(Junior) Machine Learning Engineer (all),mediaire,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-machine-learning-engineer-all-at-mediaire-4278840578?position=24&pageNum=0&refId=jMhw1pkHP2zu6ZUKcHCFjg%3D%3D&trackingId=4tju1HxOO%2FAkWlpRNIE6yw%3D%3D,Not specified,2025-08-07 16:19:48.104325
