title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Cloud & AI Solution Engineer – Data Platform,Microsoft,"Baden-Württemberg, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/cloud-ai-solution-engineer-%E2%80%93-data-platform-at-microsoft-4304379172?position=4&pageNum=0&refId=zLnhAwTbcp9G6rY4%2B3Ub4g%3D%3D&trackingId=1tfUzohIwg%2Bvwg4Jmsi4tw%3D%3D,Not specified,2025-09-24 17:30:58.883784,2025-09-24,,de.linkedin.com/jobs/view/cloud-ai-solution-engineer-%E2%80%93-data-platform-at-microsoft-4304379172
Data Engineering Consultant (w/m/x) - Germany,Avanade,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/data-engineering-consultant-w-m-x-germany-at-avanade-4299003416?position=8&pageNum=0&refId=zLnhAwTbcp9G6rY4%2B3Ub4g%3D%3D&trackingId=ArHRxl64D1PDpq0Yi5jVUA%3D%3D,Not specified,2025-09-24 17:30:58.884435,2025-09-24,,de.linkedin.com/jobs/view/data-engineering-consultant-w-m-x-germany-at-avanade-4299003416
(Senior) Consultant Management Advisory mit Schwerpunkt AI Engineer (w/m/d),BDO Germany,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-management-advisory-mit-schwerpunkt-ai-engineer-w-m-d-at-bdo-germany-4304359769?position=11&pageNum=0&refId=zLnhAwTbcp9G6rY4%2B3Ub4g%3D%3D&trackingId=Yd8%2FbuYr5mIn%2B69rc6ZL%2BQ%3D%3D,Not specified,2025-09-24 17:30:58.884895,2025-09-24,,de.linkedin.com/jobs/view/senior-consultant-management-advisory-mit-schwerpunkt-ai-engineer-w-m-d-at-bdo-germany-4304359769
Data Engineer & Scientist (f/d/m),CEEZER,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-scientist-f-d-m-at-ceezer-4302938793?position=2&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=C%2BnbQY5elLrApz13QYxpOg%3D%3D,Not specified,2025-09-24 17:31:01.709193,2025-09-24,,de.linkedin.com/jobs/view/data-engineer-scientist-f-d-m-at-ceezer-4302938793
Staff Data Scientist - Economics,Delivery Hero SE,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/staff-data-scientist-economics-at-delivery-hero-4304524285?position=3&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=wtukY2oJPjEL%2Fxam0M9LcQ%3D%3D,Not specified,2025-09-24 17:31:01.709356,2025-09-24,,de.linkedin.com/jobs/view/staff-data-scientist-economics-at-delivery-hero-4304524285
Senior Data Scientist,Prestatech,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-prestatech-4304525905?position=4&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=46mxTKx0FXxFQqWSvuLfBA%3D%3D,Not specified,2025-09-24 17:31:01.709516,2025-09-24,,de.linkedin.com/jobs/view/senior-data-scientist-at-prestatech-4304525905
Data Analyst/ Google Ads (m/f/d),Pflegia,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-google-ads-m-f-d-at-pflegia-4304383858?position=5&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=rQHVMF4C7GrWeCxtaqPa4Q%3D%3D,Not specified,2025-09-24 17:31:01.709676,2025-09-24,,de.linkedin.com/jobs/view/data-analyst-google-ads-m-f-d-at-pflegia-4304383858
Lead Machine Learning Engineer,SGI,"Berlin, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/lead-machine-learning-engineer-at-sgi-4302963158?position=6&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=nQHjt7aXFA4OgeulCm%2F8MA%3D%3D,Not specified,2025-09-24 17:31:01.709837,2025-09-24,,de.linkedin.com/jobs/view/lead-machine-learning-engineer-at-sgi-4302963158
Tech Lead - AI-Powered Team,Cozero,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/tech-lead-ai-powered-team-at-cozero-4304085076?position=7&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=PpFLYxIeiPSpIw3h1aVpbA%3D%3D,Not specified,2025-09-24 17:31:01.709998,2025-09-23,,de.linkedin.com/jobs/view/tech-lead-ai-powered-team-at-cozero-4304085076
Junior Research Analyst (w/m/d),Strategy&,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/junior-research-analyst-w-m-d-at-strategy-4304509911?position=8&pageNum=0&refId=sJseO8PNl8NI1%2BsQ4UOdDw%3D%3D&trackingId=WOQ5aEK7lRInH%2FwcZwK17Q%3D%3D,Not specified,2025-09-24 17:31:01.710150,2025-09-24,,de.linkedin.com/jobs/view/junior-research-analyst-w-m-d-at-strategy-4304509911
