title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
"Software Engineer, CUDA-Q",NVIDIA,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/software-engineer-cuda-q-at-nvidia-4271154832?position=13&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=KDUPrvN6MApml2DHiQH8YQ%3D%3D,Not specified,2025-08-13 17:45:27.446800,2025-08-13,,ch.linkedin.com/jobs/view/software-engineer-cuda-q-at-nvidia-4271154832
Solutions Engineer,Randstad Digital Switzerland,"Berne, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/solutions-engineer-at-randstad-digital-switzerland-4284079616?position=18&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=Jih2Fxo4tFNV%2FiTBj%2FtFOw%3D%3D,Not specified,2025-08-13 17:45:27.447431,2025-08-13,,ch.linkedin.com/jobs/view/solutions-engineer-at-randstad-digital-switzerland-4284079616
R&D Engineer,TieTalent,"Neuhausen, Schaffhausen, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/r-d-engineer-at-tietalent-4282219643?position=20&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=EdQ1y9x94RLPHvfj08Cswg%3D%3D,Not specified,2025-08-13 17:45:27.447683,2025-08-13,,ch.linkedin.com/jobs/view/r-d-engineer-at-tietalent-4282219643
Software Engineer (Rust development),TieTalent,"Zug, Zug, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/software-engineer-rust-development-at-tietalent-4282222284?position=24&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=QWtMdG45T4zLfD%2FX9uX2Ig%3D%3D,Not specified,2025-08-13 17:45:27.448187,2025-08-13,,ch.linkedin.com/jobs/view/software-engineer-rust-development-at-tietalent-4282222284
Junior-Softwareingenieur,addvanto AG,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/junior-softwareingenieur-at-addvanto-ag-4281701011?position=25&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=2rNwZepuOSvjE3Vm2zhUiQ%3D%3D,Not specified,2025-08-13 17:45:27.448310,2025-08-13,,ch.linkedin.com/jobs/view/junior-softwareingenieur-at-addvanto-ag-4281701011
Senior Software Entwickler:in,QPS Engineering AG,"Stein, Aargau, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/senior-software-entwickler-in-at-qps-engineering-ag-4283796069?position=28&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=NTvebhU9ab%2FD67ttk41Blw%3D%3D,Not specified,2025-08-13 17:45:27.448685,2025-08-12,,ch.linkedin.com/jobs/view/senior-software-entwickler-in-at-qps-engineering-ag-4283796069
Distinguished Software Architect - Deep Learning and HPC Communications,NVIDIA,Switzerland,LinkedIn,https://ch.linkedin.com/jobs/view/distinguished-software-architect-deep-learning-and-hpc-communications-at-nvidia-4284056084?position=29&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=CKMhtAftd2k3nSYyp47%2FWw%3D%3D,Not specified,2025-08-13 17:45:27.448804,2025-08-13,,ch.linkedin.com/jobs/view/distinguished-software-architect-deep-learning-and-hpc-communications-at-nvidia-4284056084
Senior Software Architect - Deep Learning and HPC Communications,NVIDIA,Switzerland,LinkedIn,https://ch.linkedin.com/jobs/view/senior-software-architect-deep-learning-and-hpc-communications-at-nvidia-4284056089?position=31&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=E6TDS%2BpH2cPiaKL6KQyMnw%3D%3D,Not specified,2025-08-13 17:45:27.449041,2025-08-13,,ch.linkedin.com/jobs/view/senior-software-architect-deep-learning-and-hpc-communications-at-nvidia-4284056089
Software Development Engineer – Cloud Persistence & AI,Adobe,"Basel, Basel, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/software-development-engineer-%E2%80%93-cloud-persistence-ai-at-adobe-4283572390?position=32&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=EiEh%2B5ul5MXoJxBTSLV0mg%3D%3D,Not specified,2025-08-13 17:45:27.449160,2025-08-12,,ch.linkedin.com/jobs/view/software-development-engineer-%E2%80%93-cloud-persistence-ai-at-adobe-4283572390
Solution Engineer,TieTalent,"Bern, Berne, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/solution-engineer-at-tietalent-4282220424?position=36&pageNum=0&refId=ucwIBFGAf3lribBMlf79ug%3D%3D&trackingId=5HGYzFRzOt3WBSq0fH5beQ%3D%3D,Not specified,2025-08-13 17:45:27.449624,2025-08-13,,ch.linkedin.com/jobs/view/solution-engineer-at-tietalent-4282220424
