title,company,location,source,url,salary,scraped_at
"Freelance Part-Time Exam Proctor (m, f, d)",Gisma University of Applied Sciences,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/freelance-part-time-exam-proctor-m-f-d-at-gisma-university-of-applied-sciences-4264603710?position=1&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=n%2FXznAT3Vsi33T675uPlSg%3D%3D,Not specified,2025-08-07 21:59:39.093512
Spontaneous Application,Taktile,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/spontaneous-application-at-taktile-4122042147?position=2&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=qr5HtEhopIvTBDCA6LpAJw%3D%3D,Not specified,2025-08-07 21:59:39.094492
Performance Analyst,Wolt,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/performance-analyst-at-wolt-4252359661?position=3&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=KULwt%2FtQKyD3wCE4LcFV%2Bg%3D%3D,Not specified,2025-08-07 21:59:39.094546
Talent wanted (all),mediaire,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/talent-wanted-all-at-mediaire-3953360339?position=5&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=mD3%2FcGpJ2dLpXA0F1NJKTw%3D%3D,Not specified,2025-08-07 21:59:39.094642
Junior Data Scientist (Remote),Kreativstorm Recruitment,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-data-scientist-remote-at-kreativstorm-recruitment-4281376483?position=6&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=7oiUf1q2MnxxzwlFr87YQg%3D%3D,Not specified,2025-08-07 21:59:39.094689
Data Scientist - Berlin  (All Genders),Digitl,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-berlin-all-genders-at-digitl-4271738093?position=7&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=qOCn65%2BSUtUrrSw5MwMiTg%3D%3D,Not specified,2025-08-07 21:59:39.094735
"Full-Time/Part-Time Lecturer of Computer/Data Science (m, f, d)",Gisma University of Applied Sciences,"Potsdam, Brandenburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-time-part-time-lecturer-of-computer-data-science-m-f-d-at-gisma-university-of-applied-sciences-4247177791?position=8&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=iUmGDkTSLjXPmQnaYldbJg%3D%3D,Not specified,2025-08-07 21:59:39.094781
"Full-Time/Part-Time Lecturer in Business, management and Digital Innovation (m/f/d)",Gisma University of Applied Sciences,"Potsdam, Brandenburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-time-part-time-lecturer-in-business-management-and-digital-innovation-m-f-d-at-gisma-university-of-applied-sciences-4247178738?position=9&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=Jw6IWGovQU7d%2FmdwSrT5jg%3D%3D,Not specified,2025-08-07 21:59:39.094830
Data Scientist,Vay,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-at-vay-4261049951?position=10&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=Mx02rhmcD%2FFuxzJZtB8E0A%3D%3D,Not specified,2025-08-07 21:59:39.094876
Energy Analyst,Ember,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/energy-analyst-at-ember-4275634493?position=11&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=tP8PyUgY1YnMafiWqmHbOA%3D%3D,Not specified,2025-08-07 21:59:39.094921
Founders Associate (m/w/d),Beam AI,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/founders-associate-m-w-d-at-beam-ai-4280404997?position=12&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=DkzcR4vO9eeWg10CgERAaw%3D%3D,Not specified,2025-08-07 21:59:39.094967
Junior Machine Learning Engineer (m/f/d),Merantix Momentum,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-machine-learning-engineer-m-f-d-at-merantix-momentum-4274636913?position=13&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=UVo6nwr7uWORK6rcmw0MJw%3D%3D,Not specified,2025-08-07 21:59:39.095012
Creative Strategist,Happy Mammoth,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/creative-strategist-at-happy-mammoth-4277295213?position=14&pageNum=0&refId=daQSwtp3Im3mZJ5LuH3atg%3D%3D&trackingId=eKa3ypkPbdOzVh2jLHZmsg%3D%3D,Not specified,2025-08-07 21:59:39.095057
