title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
AI-Catalyst (m/w/d),Innovabee GmbH,"Waiblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-catalyst-m-w-d-at-innovabee-gmbh-4308049318?position=3&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=3nm7oX2o%2B6OQBG13Fq7%2BQQ%3D%3D,Not specified,2025-09-30 11:23:11.799530,2025-09-29,,de.linkedin.com/jobs/view/ai-catalyst-m-w-d-at-innovabee-gmbh-4308049318
Data / AI Engineer (m/w/d),Thales,"Ditzingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-ai-engineer-m-w-d-at-thales-4306041981?position=4&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=fbTDHf116iMgLOkkRtourw%3D%3D,Not specified,2025-09-30 11:23:11.799655,2025-09-27,,de.linkedin.com/jobs/view/data-ai-engineer-m-w-d-at-thales-4306041981
AI Engineer (f/m/d),TRUMPF,"Ditzingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-engineer-f-m-d-at-trumpf-4305254280?position=5&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=1SYqr2HAPcgUve1b4vASZA%3D%3D,Not specified,2025-09-30 11:23:11.799774,2025-09-25,,de.linkedin.com/jobs/view/ai-engineer-f-m-d-at-trumpf-4305254280
Entwickler (m/w/d) Prüfstand,Helmut Fischer Global,"Sindelfingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/entwickler-m-w-d-pr%C3%BCfstand-at-helmut-fischer-global-4305847443?position=12&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=IXbz258u%2Bdw7naXlmXmwEA%3D%3D,Not specified,2025-09-30 11:23:11.800606,2025-09-30,,de.linkedin.com/jobs/view/entwickler-m-w-d-pr%C3%BCfstand-at-helmut-fischer-global-4305847443
Senior Artificial Intelligence Specialist (all genders),adesso SE,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-artificial-intelligence-specialist-all-genders-at-adesso-se-3733041156?position=16&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=jbL8HwGXmpWEOclyuBBx%2Bg%3D%3D,Not specified,2025-09-30 11:23:11.801071,2025-09-26,,de.linkedin.com/jobs/view/senior-artificial-intelligence-specialist-all-genders-at-adesso-se-3733041156
Semantic Developer (all genders),Almato Iberia,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/semantic-developer-all-genders-at-almato-iberia-4308091591?position=17&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=QT5zyESWWoNDoMARAtfjTQ%3D%3D,Not specified,2025-09-30 11:23:11.801188,2025-09-29,,de.linkedin.com/jobs/view/semantic-developer-all-genders-at-almato-iberia-4308091591
"Team Lead - Data Science - Stuttgart Area, Germany - Up to €100,000 + Bonus (d / m / w)",Optimus Search,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/team-lead-data-science-stuttgart-area-germany-up-to-%E2%82%AC100-000-%2B-bonus-d-m-w-at-optimus-search-4250393161?position=18&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=CtfdnrhjYSZUsvapf1jxTQ%3D%3D,Not specified,2025-09-30 11:23:11.801305,2025-09-29,,de.linkedin.com/jobs/view/team-lead-data-science-stuttgart-area-germany-up-to-%E2%82%AC100-000-%2B-bonus-d-m-w-at-optimus-search-4250393161
C++/Python Entwickler (m/w/d) in den Bereichen Frontend und Systemsoftware,PROCITEC GmbH,"Pforzheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/c%2B%2B-python-entwickler-m-w-d-in-den-bereichen-frontend-und-systemsoftware-at-procitec-gmbh-4303736265?position=19&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=Ye8bLP9jYcS8XnFly5tZ%2Bg%3D%3D,Not specified,2025-09-30 11:23:11.801422,2025-09-25,,de.linkedin.com/jobs/view/c%2B%2B-python-entwickler-m-w-d-in-den-bereichen-frontend-und-systemsoftware-at-procitec-gmbh-4303736265
Software Development Engineer (m/w/d) – Aerospace,prognum Automotive GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-development-engineer-m-w-d-%E2%80%93-aerospace-at-prognum-automotive-gmbh-4308187440?position=27&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=THpRi3wPeowSN9KnJfCJ9g%3D%3D,Not specified,2025-09-30 11:23:11.802355,2025-09-30,,de.linkedin.com/jobs/view/software-development-engineer-m-w-d-%E2%80%93-aerospace-at-prognum-automotive-gmbh-4308187440
Full - Stack - Entwickler (m/w/d),SDV STUDIOS GmbH & Co. KG,"Calw, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-stack-entwickler-m-w-d-at-sdv-studios-gmbh-co-kg-4305067846?position=29&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=TVvPGXYhI8jhrkPqNwd%2F1g%3D%3D,Not specified,2025-09-30 11:23:11.802589,2025-09-28,,de.linkedin.com/jobs/view/full-stack-entwickler-m-w-d-at-sdv-studios-gmbh-co-kg-4305067846
Junior Embedded Softwareentwickler C++ (all gender),ALTEN Germany,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-embedded-softwareentwickler-c%2B%2B-all-gender-at-alten-germany-4304876279?position=30&pageNum=0&refId=ReL4we3CGPZ2EhVjm2mDmA%3D%3D&trackingId=kskZHjFH2%2BMntYfeGipVlw%3D%3D,Not specified,2025-09-30 11:23:11.802704,2025-09-25,,de.linkedin.com/jobs/view/junior-embedded-softwareentwickler-c%2B%2B-all-gender-at-alten-germany-4304876279
