title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Senior AI Engineer (Applied Research),Nexthink,"Lausanne, Vaud, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/senior-ai-engineer-applied-research-at-nexthink-4301541832?position=3&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=k9nR0TitCf8E7lV3bZB5Qw%3D%3D,Not specified,2025-09-17 10:15:43.501775,2025-09-16,,ch.linkedin.com/jobs/view/senior-ai-engineer-applied-research-at-nexthink-4301541832
Generative AI Engineer,aumico,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/generative-ai-engineer-at-aumico-4299962871?position=5&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=qgdsWPCuABaIaTuOPegqLA%3D%3D,Not specified,2025-09-17 10:15:43.502090,2025-09-17,,ch.linkedin.com/jobs/view/generative-ai-engineer-at-aumico-4299962871
Senior AI Engineer,RepRisk,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/senior-ai-engineer-at-reprisk-4292650503?position=7&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=ii6a0FSZ%2FiOX1EM74VEL4Q%3D%3D,Not specified,2025-09-17 10:15:43.502399,2025-09-16,,ch.linkedin.com/jobs/view/senior-ai-engineer-at-reprisk-4292650503
"Meteorolog III - pripravnik v Sektorju za izdelke in storitve, Uradu za meteorologijo, hidrologijo in oceanografijo",Vlada Republike Slovenije,"Münsterlingen, Thurgau, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/meteorolog-iii-pripravnik-v-sektorju-za-izdelke-in-storitve-uradu-za-meteorologijo-hidrologijo-in-oceanografijo-at-vlada-republike-slovenije-4301195042?position=8&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=Jf%2FMEmBswoUlTncyDTdqKQ%3D%3D,Not specified,2025-09-17 10:15:43.502555,2025-09-16,,ch.linkedin.com/jobs/view/meteorolog-iii-pripravnik-v-sektorju-za-izdelke-in-storitve-uradu-za-meteorologijo-hidrologijo-in-oceanografijo-at-vlada-republike-slovenije-4301195042
AI Research Engineer (Fine-tuning),Tether.io,"Berne, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/ai-research-engineer-fine-tuning-at-tether-io-4301574650?position=9&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=mPI2wQLG2bWrtBJj3ZbrrA%3D%3D,Not specified,2025-09-17 10:15:43.502711,2025-09-16,,ch.linkedin.com/jobs/view/ai-research-engineer-fine-tuning-at-tether-io-4301574650
Software Control Engineer,Michael Bailey Associates,"Glarus, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/software-control-engineer-at-michael-bailey-associates-4299547135?position=13&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=Fb89URWhMbo4CQmCHmXIrQ%3D%3D,Not specified,2025-09-17 10:15:43.503316,2025-09-16,,ch.linkedin.com/jobs/view/software-control-engineer-at-michael-bailey-associates-4299547135
Solution Engineer Cloud & AI for Innovation Hub,Microsoft,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/solution-engineer-cloud-ai-for-innovation-hub-at-microsoft-4301286185?position=14&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=JU2W3fuCUbXcIeClT4qx%2BQ%3D%3D,Not specified,2025-09-17 10:15:43.503469,2025-09-16,,ch.linkedin.com/jobs/view/solution-engineer-cloud-ai-for-innovation-hub-at-microsoft-4301286185
Front-End-Entwickler (m/w/d) 60-80%,everyday Werbeagentur GmbH,"Basel, Basel, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/front-end-entwickler-m-w-d-60-80%25-at-everyday-werbeagentur-gmbh-4299549555?position=20&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=0DCU2s4j%2B%2BJpnn5IRDFrqg%3D%3D,Not specified,2025-09-17 10:15:43.504379,2025-09-16,,ch.linkedin.com/jobs/view/front-end-entwickler-m-w-d-60-80%25-at-everyday-werbeagentur-gmbh-4299549555
Platform Engineer – Remote,The Flex,Switzerland,LinkedIn,https://ch.linkedin.com/jobs/view/platform-engineer-%E2%80%93-remote-at-the-flex-4301510646?position=22&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=rZQ1ROt74R4qmhCS0qn1ZA%3D%3D,Not specified,2025-09-17 10:15:43.504685,2025-09-16,,ch.linkedin.com/jobs/view/platform-engineer-%E2%80%93-remote-at-the-flex-4301510646
GNC Engineer,Harmattan AI,"Lausanne, Vaud, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/gnc-engineer-at-harmattan-ai-4205077758?position=24&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=8x1W894nE7Umhls8lNxpuA%3D%3D,Not specified,2025-09-17 10:15:43.504984,2025-09-16,,ch.linkedin.com/jobs/view/gnc-engineer-at-harmattan-ai-4205077758
Business R&D Senior Professional,Hitachi Energy,"Molinazzo di Monteggio, Ticino, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/business-r-d-senior-professional-at-hitachi-energy-4301193461?position=29&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=ytnmIEuhe1JJeJoCfn6zBQ%3D%3D,Not specified,2025-09-17 10:15:43.505756,2025-09-16,,ch.linkedin.com/jobs/view/business-r-d-senior-professional-at-hitachi-energy-4301193461
Senior Splunk Engineer - private banking,Synechron,"Zurich, Zurich, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/senior-splunk-engineer-private-banking-at-synechron-4301505717?position=30&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=upXI8npF%2FFepeypAU4UOhg%3D%3D,Not specified,2025-09-17 10:15:43.505910,2025-09-16,,ch.linkedin.com/jobs/view/senior-splunk-engineer-private-banking-at-synechron-4301505717
Protocol Engineer,Matter Labs,Switzerland,LinkedIn,https://ch.linkedin.com/jobs/view/protocol-engineer-at-matter-labs-4301502391?position=33&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=X0aAwz7KNSFPrMZxGXopEw%3D%3D,Not specified,2025-09-17 10:15:43.506371,2025-09-16,,ch.linkedin.com/jobs/view/protocol-engineer-at-matter-labs-4301502391
Consultant(e) Java FullStack (H/F),SQLI,"Geneva, Geneva, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/consultant-e-java-fullstack-h-f-at-sqli-4301515776?position=36&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=CbKDEFiU%2Bp5pUgZk6y7uEQ%3D%3D,Not specified,2025-09-17 10:15:43.506840,2025-09-16,,ch.linkedin.com/jobs/view/consultant-e-java-fullstack-h-f-at-sqli-4301515776
Compiler Engineer,EPFL,Lausanne Metropolitan Area,LinkedIn,https://ch.linkedin.com/jobs/view/compiler-engineer-at-epfl-4299546116?position=38&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=SEIrxfe5YVlG2QMcO8Nx5Q%3D%3D,Not specified,2025-09-17 10:15:43.507160,2025-09-16,,ch.linkedin.com/jobs/view/compiler-engineer-at-epfl-4299546116
"Senior Clinical Trial Physician, Oncology",Bristol Myers Squibb,"Boudry, Neuchâtel, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/senior-clinical-trial-physician-oncology-at-bristol-myers-squibb-4301549973?position=39&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=52%2FBRdiCR5Z20wIgSmnl7w%3D%3D,Not specified,2025-09-17 10:15:43.507321,2025-09-16,,ch.linkedin.com/jobs/view/senior-clinical-trial-physician-oncology-at-bristol-myers-squibb-4301549973
Full-Stack Engineer – Remote,The Flex,Switzerland,LinkedIn,https://ch.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-remote-at-the-flex-4301520298?position=40&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=oq7mLe5ImDoghR0EbOOpog%3D%3D,Not specified,2025-09-17 10:15:43.507475,2025-09-16,,ch.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-remote-at-the-flex-4301520298
Développeur Magnolia - Full remote,TEAM PARTNERS Suisse SA - Groupe BLUESOFT,"Geneva, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/d%C3%A9veloppeur-magnolia-full-remote-at-team-partners-suisse-sa-groupe-bluesoft-4299531833?position=45&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=iQu6e59zXtCak4eO98QJWg%3D%3D,Not specified,2025-09-17 10:15:43.508288,2025-09-16,,ch.linkedin.com/jobs/view/d%C3%A9veloppeur-magnolia-full-remote-at-team-partners-suisse-sa-groupe-bluesoft-4299531833
Fullstack Softwareentwickler C# (80-100%),Hays,"St Gallen, Switzerland",LinkedIn,https://ch.linkedin.com/jobs/view/fullstack-softwareentwickler-c%23-80-100%25-at-hays-4301281987?position=46&pageNum=0&refId=JmEJEjqSEeybjvdq8i9VXw%3D%3D&trackingId=HRN%2F1vZiTvzJH8NzD6YA5Q%3D%3D,Not specified,2025-09-17 10:15:43.508443,2025-09-16,,ch.linkedin.com/jobs/view/fullstack-softwareentwickler-c%23-80-100%25-at-hays-4301281987
