title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
AI Engineer,CEF.AI,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-engineer-at-cef-ai-4291331809?position=6&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=z9KfMlS0P0PhNQp95Z1cSw%3D%3D,Not specified,2025-08-27 09:20:40.318953,2025-08-26,,de.linkedin.com/jobs/view/ai-engineer-at-cef-ai-4291331809
Senior Machine Learning Engineer I,SumUp,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-i-at-sumup-4289646810?position=8&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=Q20fax4fnNhH6VDOdaOVKw%3D%3D,Not specified,2025-08-27 09:20:40.319191,2025-08-26,,de.linkedin.com/jobs/view/senior-machine-learning-engineer-i-at-sumup-4289646810
Senior Data & AI Platform Engineer (f/m/d),HUMANOO,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-ai-platform-engineer-f-m-d-at-humanoo-4289626886?position=27&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=Sw0fg5AJpvG2I2gBBmu%2FfA%3D%3D,Not specified,2025-08-27 09:20:40.321397,2025-08-26,,de.linkedin.com/jobs/view/senior-data-ai-platform-engineer-f-m-d-at-humanoo-4289626886
Big Data Scala Engineer,Ambrosys,"Potsdam, Brandenburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/big-data-scala-engineer-at-ambrosys-4266168223?position=33&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=Bq0%2BU0AoMNB1%2Bns%2BojzJIw%3D%3D,Not specified,2025-08-27 09:20:40.322082,2025-08-26,,de.linkedin.com/jobs/view/big-data-scala-engineer-at-ambrosys-4266168223
Full-Stack Engineer – POS Platforms,On,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-pos-platforms-at-on-4291092566?position=50&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=U1iem%2BAEm%2FP3dwCytaXMsQ%3D%3D,Not specified,2025-08-27 09:20:40.324017,2025-08-26,,de.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-pos-platforms-at-on-4291092566
Junior Manual QA Engineer,Trinetix,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-manual-qa-engineer-at-trinetix-4291257325?position=52&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=Au4ABuF75aMAnyPdvNRKQw%3D%3D,Not specified,2025-08-27 09:20:40.324233,2025-08-26,,de.linkedin.com/jobs/view/junior-manual-qa-engineer-at-trinetix-4291257325
Senior React Native Full-Stack Engineer,Instaffo,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-react-native-full-stack-engineer-at-instaffo-4291257463?position=54&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=4mbGLIi4meDzt4jjiPHsaQ%3D%3D,Not specified,2025-08-27 09:20:40.324461,2025-08-26,,de.linkedin.com/jobs/view/senior-react-native-full-stack-engineer-at-instaffo-4291257463
"Senior Engineer, Golang - (Quick Commerce)",Delivery Hero,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-engineer-golang-quick-commerce-at-delivery-hero-4288884238?position=56&pageNum=0&refId=%2FJHoyjSG0nZsyz%2F8ueEC%2Fw%3D%3D&trackingId=EX6p%2B%2Bax7LsWdstRs0tD0g%3D%3D,Not specified,2025-08-27 09:20:40.324682,2025-08-26,,de.linkedin.com/jobs/view/senior-engineer-golang-quick-commerce-at-delivery-hero-4288884238
Senior Machine Learning Engineer,Enigma,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4291314538?position=1&pageNum=0&refId=EMIXntYeyvU3JgAMD3yE%2Fw%3D%3D&trackingId=SV2s%2BqHCbj%2BBzuvrvaKN2w%3D%3D,Not specified,2025-08-27 09:20:43.180524,2025-08-26,,de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4291314538
DevSecOp Engineer Radar (m/w/d),Thales,"Ditzingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/devsecop-engineer-radar-m-w-d-at-thales-4279661072?position=9&pageNum=0&refId=EMIXntYeyvU3JgAMD3yE%2Fw%3D%3D&trackingId=zaBUOYQzWKw2fAd6TsCAaQ%3D%3D,Not specified,2025-08-27 09:20:43.181639,2025-08-26,,de.linkedin.com/jobs/view/devsecop-engineer-radar-m-w-d-at-thales-4279661072
