title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
EY-Parthenon (Senior) Consultant Commercial AI - Strategy and Transactions (w/m/d),EY-Parthenon,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4252998985?position=5&pageNum=0&refId=N6KRo7qv4NQLsl4c15RhRA%3D%3D&trackingId=3WN3d7BAMhRc%2F531BKeBVA%3D%3D,Not specified,2025-09-14 11:56:16.392082,2025-09-13,,de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4252998985
Market Research Analyst,Techfy,"Berlin, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/market-research-analyst-at-techfy-4298524861?position=7&pageNum=0&refId=rKZ8grwk3iTJ%2F77A2jxhhw%3D%3D&trackingId=9nunLShyx1ryANaBnktoBw%3D%3D,Not specified,2025-09-14 11:56:20.092583,2025-09-14,,de.linkedin.com/jobs/view/market-research-analyst-at-techfy-4298524861
Business Development Associate,AppLovin,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/business-development-associate-at-applovin-4289929436?position=9&pageNum=0&refId=rKZ8grwk3iTJ%2F77A2jxhhw%3D%3D&trackingId=NAI3711te8Y14Lf2SrWn8g%3D%3D,Not specified,2025-09-14 11:56:20.092886,2025-09-13,,de.linkedin.com/jobs/view/business-development-associate-at-applovin-4289929436
Senior Consultant Data Engineering (m/w/d),Simon-Kucher,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-data-engineering-m-w-d-at-simon-kucher-4221529862?position=10&pageNum=0&refId=rKZ8grwk3iTJ%2F77A2jxhhw%3D%3D&trackingId=Dl69JgbrrCbToMfgh08Yfw%3D%3D,Not specified,2025-09-14 11:56:20.093041,2025-09-13,,de.linkedin.com/jobs/view/senior-consultant-data-engineering-m-w-d-at-simon-kucher-4221529862
Consultant - Digitale Transformation und IT-Strategie (w|m|d),zeb consulting,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/consultant-digitale-transformation-und-it-strategie-w-m-d-at-zeb-consulting-4224510738?position=17&pageNum=0&refId=rKZ8grwk3iTJ%2F77A2jxhhw%3D%3D&trackingId=iEgBHpcq%2FNBsFZvk4v5MjQ%3D%3D,Not specified,2025-09-14 11:56:20.094100,2025-09-13,,de.linkedin.com/jobs/view/consultant-digitale-transformation-und-it-strategie-w-m-d-at-zeb-consulting-4224510738
Consultant - Digitale Transformation und IT-Strategie (w|m|d),zeb consulting,Frankfurt,LinkedIn,https://de.linkedin.com/jobs/view/consultant-digitale-transformation-und-it-strategie-w-m-d-at-zeb-consulting-4224513436?position=5&pageNum=0&refId=czmEadQw0UoihoKqiP3Asg%3D%3D&trackingId=RCRHPUnjKNgN5tfu%2BBfLaw%3D%3D,Not specified,2025-09-14 11:56:22.925682,2025-09-13,,de.linkedin.com/jobs/view/consultant-digitale-transformation-und-it-strategie-w-m-d-at-zeb-consulting-4224513436
EY-Parthenon (Senior) Consultant Commercial AI - Strategy and Transactions (w/m/d),EY-Parthenon,Eschborn,LinkedIn,https://de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4252998982?position=9&pageNum=0&refId=czmEadQw0UoihoKqiP3Asg%3D%3D&trackingId=wDLsoDYhBuoR8On5G3KKOQ%3D%3D,Not specified,2025-09-14 11:56:22.926384,2025-09-13,,de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4252998982
Senior IT-Consultant / Engineer Dataiku (all genders),adesso SE,Frankfurt,LinkedIn,https://de.linkedin.com/jobs/view/senior-it-consultant-engineer-dataiku-all-genders-at-adesso-se-3939452344?position=10&pageNum=0&refId=czmEadQw0UoihoKqiP3Asg%3D%3D&trackingId=Z8QEuN13jaYliLfvcKPkJg%3D%3D,Not specified,2025-09-14 11:56:22.926560,2025-09-13,,de.linkedin.com/jobs/view/senior-it-consultant-engineer-dataiku-all-genders-at-adesso-se-3939452344
Professorship Computer Science on Campus (m/f/d),IU Internationale Hochschule,Köln,LinkedIn,https://de.linkedin.com/jobs/view/professorship-computer-science-on-campus-m-f-d-at-iu-international-university-of-applied-sciences-4289470534?position=8&pageNum=0&refId=TAhrcyEvkqx7q9niqGsFCA%3D%3D&trackingId=tmnYXO5jfLRdkMvD%2BqKgiw%3D%3D,Not specified,2025-09-14 11:56:30.190755,2025-09-13,,de.linkedin.com/jobs/view/professorship-computer-science-on-campus-m-f-d-at-iu-international-university-of-applied-sciences-4289470534
Software Architect Azure AI (all genders),adesso SE,Köln,LinkedIn,https://de.linkedin.com/jobs/view/software-architect-azure-ai-all-genders-at-adesso-se-4188531565?position=9&pageNum=0&refId=TAhrcyEvkqx7q9niqGsFCA%3D%3D&trackingId=20P6aXResx8K8ZTlXxx56Q%3D%3D,Not specified,2025-09-14 11:56:30.190860,2025-09-14,,de.linkedin.com/jobs/view/software-architect-azure-ai-all-genders-at-adesso-se-4188531565
EY-Parthenon (Senior) Consultant Commercial AI - Strategy and Transactions (w/m/d),EY-Parthenon,Düsseldorf,LinkedIn,https://de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4253205094?position=10&pageNum=0&refId=TAhrcyEvkqx7q9niqGsFCA%3D%3D&trackingId=Hs9GM7eToTUuNr80Tbjmjg%3D%3D,Not specified,2025-09-14 11:56:30.190964,2025-09-13,,de.linkedin.com/jobs/view/ey-parthenon-senior-consultant-commercial-ai-strategy-and-transactions-w-m-d-at-ey-parthenon-4253205094
"Schülerpraktika (BOGY, BORS, OIB)",Rentschler Biopharma,Laupheim,LinkedIn,https://de.linkedin.com/jobs/view/sch%C3%BClerpraktika-bogy-bors-oib-at-rentschler-biopharma-3660615214?position=6&pageNum=0&refId=QfApdPD4MkDRh6LQ3o09Cg%3D%3D&trackingId=3htnNBB3Gs3ugSlWzxcXSQ%3D%3D,Not specified,2025-09-14 11:56:35.223754,2025-09-13,,de.linkedin.com/jobs/view/sch%C3%BClerpraktika-bogy-bors-oib-at-rentschler-biopharma-3660615214
