title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
AI Expert - Engineering and Data Science (w/m/d),KPMG Deutschland,Frankfurt,LinkedIn,https://de.linkedin.com/jobs/view/ai-expert-engineering-and-data-science-w-m-d-at-kpmg-deutschland-4285768942?position=7&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=J%2FyK4HIi3Jui8YPtjobTdg%3D%3D,Not specified,2025-08-14 22:36:25.651168,2025-08-14,,de.linkedin.com/jobs/view/ai-expert-engineering-and-data-science-w-m-d-at-kpmg-deutschland-4285768942
Data Engineer/ Data Analyst (w/m/d),Gartenbau-Versicherung VVaG,Wiesbaden,LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-data-analyst-w-m-d-at-gartenbau-versicherung-vvag-4282594110?position=8&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=Mbd6hL1MSiTZe1ryP%2B3P6A%3D%3D,Not specified,2025-08-14 22:36:25.651281,2025-08-14,,de.linkedin.com/jobs/view/data-engineer-data-analyst-w-m-d-at-gartenbau-versicherung-vvag-4282594110
Junior Cloud Field Engineer,Canonical,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/junior-cloud-field-engineer-at-canonical-4284587427?position=15&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=6NvzyxXxctz9kX6x6E8OVw%3D%3D,Not specified,2025-08-14 22:36:25.652100,2025-08-14,,de.linkedin.com/jobs/view/junior-cloud-field-engineer-at-canonical-4284587427
Consultant Business Intelligence (m/w/d),TieTalent,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/consultant-business-intelligence-m-w-d-at-tietalent-4285473892?position=22&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=xUGroFU6yPb9sq%2FGEMKxGg%3D%3D,Not specified,2025-08-14 22:36:25.652917,2025-08-14,,de.linkedin.com/jobs/view/consultant-business-intelligence-m-w-d-at-tietalent-4285473892
BI Fullstack Engineer - (m/w/d),Insight Health GmbH,Esch,LinkedIn,https://de.linkedin.com/jobs/view/bi-fullstack-engineer-m-w-d-at-insight-health-gmbh-4285324524?position=23&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=Rc4rEhb7w9B6UJzlD2g3Zw%3D%3D,Not specified,2025-08-14 22:36:25.653033,2025-08-14,,de.linkedin.com/jobs/view/bi-fullstack-engineer-m-w-d-at-insight-health-gmbh-4285324524
Consultant Business Intelligence SQL / PL / SQL (m/w/d),TieTalent,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/consultant-business-intelligence-sql-pl-sql-m-w-d-at-tietalent-4285477207?position=28&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=BTXhAaKPYnS2coKadKjirw%3D%3D,Not specified,2025-08-14 22:36:25.653617,2025-08-14,,de.linkedin.com/jobs/view/consultant-business-intelligence-sql-pl-sql-m-w-d-at-tietalent-4285477207
Business Analytics Specialist Tableau (all genders),adesso SE,Frankfurt,LinkedIn,https://de.linkedin.com/jobs/view/business-analytics-specialist-tableau-all-genders-at-adesso-se-4203244374?position=29&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=rB52FH66LT8uq96fqGolzA%3D%3D,Not specified,2025-08-14 22:36:25.653734,2025-08-14,,de.linkedin.com/jobs/view/business-analytics-specialist-tableau-all-genders-at-adesso-se-4203244374
Senior Business Intelligence Consultant (m/w/d),TieTalent,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/senior-business-intelligence-consultant-m-w-d-at-tietalent-4285474504?position=34&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=DOGVM6iKpML1YGdpTBmVfg%3D%3D,Not specified,2025-08-14 22:36:25.654323,2025-08-14,,de.linkedin.com/jobs/view/senior-business-intelligence-consultant-m-w-d-at-tietalent-4285474504
Senior Consultant Business Intelligence (m/w/d),TieTalent,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-business-intelligence-m-w-d-at-tietalent-4285477324?position=39&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=BSo2%2B0Ei%2F3maBXQpz1cAig%3D%3D,Not specified,2025-08-14 22:36:25.654906,2025-08-14,,de.linkedin.com/jobs/view/senior-consultant-business-intelligence-m-w-d-at-tietalent-4285477324
Golang Engineer,Canonical,Frankfurt am Main,LinkedIn,https://de.linkedin.com/jobs/view/golang-engineer-at-canonical-4284939313?position=45&pageNum=0&refId=wNPQ%2F5jVrvGNqAaUJMJNyQ%3D%3D&trackingId=5fGf6TGcds7zPKuMjDSl%2BA%3D%3D,Not specified,2025-08-14 22:36:25.655568,2025-08-14,,de.linkedin.com/jobs/view/golang-engineer-at-canonical-4284939313
