title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Data Science Consultant (m/w/d),INVENSITY,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-science-consultant-m-w-d-at-invensity-4348234274?position=1&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=mF7DSLx5lkjnD5itO%2FAZCg%3D%3D,Not specified,2025-12-02 08:31:41.210380,2025-12-02,,de.linkedin.com/jobs/view/data-science-consultant-m-w-d-at-invensity-4348234274
AI Expert - Engineering and Data Science (w/m/d),KPMG Deutschland,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-expert-engineering-and-data-science-w-m-d-at-kpmg-deutschland-4324998423?position=2&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=iAbdVTPgImi0bVXv%2BF%2FYcA%3D%3D,Not specified,2025-12-02 08:31:41.210633,2025-12-01,,de.linkedin.com/jobs/view/ai-expert-engineering-and-data-science-w-m-d-at-kpmg-deutschland-4324998423
Senior Data Scientist,Zühlke Group,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-z%C3%BChlke-group-4323830317?position=3&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=ypw0x08uNFDgmIi7inoZ5A%3D%3D,Not specified,2025-12-02 08:31:41.210838,2025-12-01,,de.linkedin.com/jobs/view/senior-data-scientist-at-z%C3%BChlke-group-4323830317
"Hiwi-Stelle im Bereich Deep Reinforcement Learning (Institut für Fördertechnik und Logistik, Universität Stuttgart)",SimTech - Cluster of Excellence | University of Stuttgart,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/hiwi-stelle-im-bereich-deep-reinforcement-learning-institut-f%C3%BCr-f%C3%B6rdertechnik-und-logistik-universit%C3%A4t-stuttgart-at-simtech-cluster-of-excellence-university-of-stuttgart-4325452255?position=4&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=QMSWyG8nb05pdcwoERQpdw%3D%3D,Not specified,2025-12-02 08:31:41.211023,2025-12-02,,de.linkedin.com/jobs/view/hiwi-stelle-im-bereich-deep-reinforcement-learning-institut-f%C3%BCr-f%C3%B6rdertechnik-und-logistik-universit%C3%A4t-stuttgart-at-simtech-cluster-of-excellence-university-of-stuttgart-4325452255
Projektingenieur (w/m/x),Alveon AG,"Ostfildern, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/projektingenieur-w-m-x-at-alveon-ag-4340305087?position=5&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=0v3q3%2BIqYMiWxUtW3TeRkQ%3D%3D,Not specified,2025-12-02 08:31:41.211262,2025-12-01,,de.linkedin.com/jobs/view/projektingenieur-w-m-x-at-alveon-ag-4340305087
Pre-Master AI-Enabler (m/w/d),Bosch,"Reutlingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/pre-master-ai-enabler-m-w-d-at-bosch-4325195225?position=7&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=e2eX4PYjbhtJcAnql6Wh0Q%3D%3D,Not specified,2025-12-02 08:31:41.211599,2025-12-01,,de.linkedin.com/jobs/view/pre-master-ai-enabler-m-w-d-at-bosch-4325195225
"Hiwi-Stelle im Bereich Deep Reinforcement Learning (Institut für Fördertechnik und Logistik, Universität Stuttgart)",SFB 1313 | University of Stuttgart,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/hiwi-stelle-im-bereich-deep-reinforcement-learning-institut-f%C3%BCr-f%C3%B6rdertechnik-und-logistik-universit%C3%A4t-stuttgart-at-sfb-1313-university-of-stuttgart-4348232119?position=8&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=Ufd8c1LJPAW9pLCc4rKVDw%3D%3D,Not specified,2025-12-02 08:31:41.211780,2025-12-01,,de.linkedin.com/jobs/view/hiwi-stelle-im-bereich-deep-reinforcement-learning-institut-f%C3%BCr-f%C3%B6rdertechnik-und-logistik-universit%C3%A4t-stuttgart-at-sfb-1313-university-of-stuttgart-4348232119
Doktorand (m/w/d) im Bereich Adaptive Steuerungstechnik und industrielle Kommunikation,SimTech - Cluster of Excellence | University of Stuttgart,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/doktorand-m-w-d-im-bereich-adaptive-steuerungstechnik-und-industrielle-kommunikation-at-simtech-cluster-of-excellence-university-of-stuttgart-4325282122?position=11&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=6nzyqvGwS%2BKxOxwAO76G0w%3D%3D,Not specified,2025-12-02 08:31:41.212288,2025-12-02,,de.linkedin.com/jobs/view/doktorand-m-w-d-im-bereich-adaptive-steuerungstechnik-und-industrielle-kommunikation-at-simtech-cluster-of-excellence-university-of-stuttgart-4325282122
Software Developer,CACI International Inc,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-developer-at-caci-international-inc-4339040111?position=14&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=mrNGUxBhnn6D9vAU0Cm7qQ%3D%3D,Not specified,2025-12-02 08:31:41.212796,2025-12-01,,de.linkedin.com/jobs/view/software-developer-at-caci-international-inc-4339040111
HiL Testing Engineer (m/w/d)*,Tagueri AG,"Pforzheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/hil-testing-engineer-m-w-d-at-tagueri-ag-4227303393?position=16&pageNum=0&refId=QT1o%2BoE8x18hypTK3KiI%2Fg%3D%3D&trackingId=8yJzFY57yPqHqQMl%2BQmzvQ%3D%3D,Not specified,2025-12-02 08:31:41.213118,2025-12-01,,de.linkedin.com/jobs/view/hil-testing-engineer-m-w-d-at-tagueri-ag-4227303393
