title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Data / Machine Learning Engineer (m/w/d),Empion,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-machine-learning-engineer-m-w-d-at-empion-4394387755?position=2&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=ncIWa85SN1o%2BBwc7YJqJ5w%3D%3D,Not specified,2026-04-02 08:39:11.741508,2026-04-01,,de.linkedin.com/jobs/view/data-machine-learning-engineer-m-w-d-at-empion-4394387755
Werkstudierende (w/m/d) für Data Science,SimTech - Cluster of Excellence | University of Stuttgart,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/werkstudierende-w-m-d-f%C3%BCr-data-science-at-simtech-cluster-of-excellence-university-of-stuttgart-4392880757?position=3&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=AdRzF4WRdAhSjsz48VYb4Q%3D%3D,Not specified,2026-04-02 08:39:11.741703,2026-04-01,,de.linkedin.com/jobs/view/werkstudierende-w-m-d-f%C3%BCr-data-science-at-simtech-cluster-of-excellence-university-of-stuttgart-4392880757
Senior Research Engineer,DeepRec.ai,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-research-engineer-at-deeprec-ai-4394683102?position=4&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=nz9cnwqSw%2Bp2DL6Wl8lgDw%3D%3D,Not specified,2026-04-02 08:39:11.741865,2026-04-01,,de.linkedin.com/jobs/view/senior-research-engineer-at-deeprec-ai-4394683102
Senior Data / Machine Learning Engineer (m/w/d),ProOmea GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-machine-learning-engineer-m-w-d-at-proomea-gmbh-4393925406?position=7&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=bTQwY7KbJFrM%2Br%2BNgyYagw%3D%3D,Not specified,2026-04-02 08:39:11.742298,2026-04-01,,de.linkedin.com/jobs/view/senior-data-machine-learning-engineer-m-w-d-at-proomea-gmbh-4393925406
SPS-Programmierer (m/w/d),Rocken®,"Ludwigsburg, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/sps-programmierer-m-w-d-at-rocken%C2%AE-4393027392?position=16&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=ABVL5okArpCi%2BBzOqUw6kg%3D%3D,Not specified,2026-04-02 08:39:11.743603,2026-04-01,,de.linkedin.com/jobs/view/sps-programmierer-m-w-d-at-rocken%C2%AE-4393027392
Data Engineer (m/w/d),Holman Deutschland,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-holman-deutschland-4354308251?position=17&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=%2FV%2BeUlFP3pTVaDW8UiB0Ug%3D%3D,Not specified,2026-04-02 08:39:11.743741,2026-04-01,,de.linkedin.com/jobs/view/data-engineer-m-w-d-at-holman-deutschland-4354308251
Market Research & Data Analyst (m/w/d),Gemüsering Stuttgart GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/market-research-data-analyst-m-w-d-at-gem%C3%BCsering-stuttgart-gmbh-4392861203?position=18&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=jkn7E5ANsetftDuzF03e1w%3D%3D,Not specified,2026-04-02 08:39:11.743876,2026-04-01,,de.linkedin.com/jobs/view/market-research-data-analyst-m-w-d-at-gem%C3%BCsering-stuttgart-gmbh-4392861203
Senior Spezialist* Funktionsentwicklung / Softwaretest - India Hub (Pune),EDAG Group,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/senior-spezialist-funktionsentwicklung-softwaretest-india-hub-pune-at-edag-group-4393052032?position=19&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=AiBbYU6khS8P3OIeqiawxw%3D%3D,Not specified,2026-04-02 08:39:11.744023,2026-04-01,,de.linkedin.com/jobs/view/senior-spezialist-funktionsentwicklung-softwaretest-india-hub-pune-at-edag-group-4393052032
Senior Google Workspace Engineer (m/w/d),PCG - Public Cloud Group,"Magstadt, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-google-workspace-engineer-m-w-d-at-pcg-public-cloud-group-4396740810?position=20&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=ptszmoaZfQfEoBpq%2BmjNqA%3D%3D,Not specified,2026-04-02 08:39:11.744164,2026-04-01,,de.linkedin.com/jobs/view/senior-google-workspace-engineer-m-w-d-at-pcg-public-cloud-group-4396740810
Web Analyst (m/w/d),Instaffo,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/web-analyst-m-w-d-at-instaffo-4227177122?position=21&pageNum=0&refId=9GAulrFR4mjERvawWe83%2Bg%3D%3D&trackingId=tA6DtwMUayRjljKoXHVTzA%3D%3D,Not specified,2026-04-02 08:39:11.744302,2026-04-02,,de.linkedin.com/jobs/view/web-analyst-m-w-d-at-instaffo-4227177122
