title,company,location,source,url,salary,scraped_at
KI Data Engineer (w/m/d),syngenio AG,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ki-data-engineer-w-m-d-at-syngenio-ag-4281658777?position=2&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=fy4tPlvwjF11gMMPXQFyCQ%3D%3D,Not specified,2025-08-08 10:26:12.470751
Senior Consultant Financial Services (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-financial-services-m-w-d-bundesweit-at-hso-4281584707?position=7&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=Cbp9OPF21kMIoLj9ai%2BPeA%3D%3D,Not specified,2025-08-08 10:26:12.470986
DevOps Engineer Data & Analytics (all genders),adesso SE,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/devops-engineer-data-analytics-all-genders-at-adesso-se-4281505740?position=52&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=HNSlZyONWWkVdIqu7zH4jA%3D%3D,Not specified,2025-08-08 10:26:12.472943
Azure Cloud Solution Developer (m/w/d) bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/azure-cloud-solution-developer-m-w-d-bundesweit-at-hso-4281491531?position=57&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=qOTLSGvgTkpYP3e9HIeV6A%3D%3D,Not specified,2025-08-08 10:26:12.473159
Consultant Regulatory Data Management (m/w/d) in Stuttgart,Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-regulatory-data-management-m-w-d-in-stuttgart-at-deloitte-4243064517?position=58&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=ThLAMpYeBOmjglT6myntVg%3D%3D,Not specified,2025-08-08 10:26:12.473201
Senior Consultant Gen AI / Generative KI (m/w/d) in Stuttgart,Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-gen-ai-generative-ki-m-w-d-in-stuttgart-at-deloitte-4243059915?position=59&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=dIbg4ui%2BxRWkDfxzgcwDYg%3D%3D,Not specified,2025-08-08 10:26:12.473244
Consultant Software Configuration & Data Management (m/w/d)*,Tagueri AG,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-software-configuration-data-management-m-w-d-at-tagueri-ag-4256386771?position=60&pageNum=0&refId=kk7aOC3aS9SWbT2KVR%2Fz6A%3D%3D&trackingId=359I66eIGt1S4wdj%2F200Bw%3D%3D,Not specified,2025-08-08 10:26:12.473287
