title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Software-Entwickler (m/w/d),mpl Software GmbH,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/software-entwickler-m-w-d-at-mpl-software-gmbh-4347794637?position=7&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=TcyUVJXRiOARj6r7ki%2BrdQ%3D%3D,Not specified,2025-11-28 09:49:11.083097,2025-11-27,,de.linkedin.com/jobs/view/software-entwickler-m-w-d-at-mpl-software-gmbh-4347794637
Softwareentwickler (m/w/d) im öffentlichen Dienst - Fullstack / Backend,KVBW,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/softwareentwickler-m-w-d-im-%C3%B6ffentlichen-dienst-fullstack-backend-at-kvbw-4339305970?position=9&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=FEgyMQ4khjDThEUHEyhojQ%3D%3D,Not specified,2025-11-28 09:49:11.083350,2025-11-27,,de.linkedin.com/jobs/view/softwareentwickler-m-w-d-im-%C3%B6ffentlichen-dienst-fullstack-backend-at-kvbw-4339305970
React Entwickler:in (m/w/d) - Böblingen,Computer Futures,Böblingen,LinkedIn,https://de.linkedin.com/jobs/view/react-entwickler-in-m-w-d-b%C3%B6blingen-at-computer-futures-4304978283?position=10&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=QCb08ff6d%2B%2Ftpwswi6NTgA%3D%3D,Not specified,2025-11-28 09:49:11.083477,2025-11-27,,de.linkedin.com/jobs/view/react-entwickler-in-m-w-d-b%C3%B6blingen-at-computer-futures-4304978283
フルスタックエンジニア,"Beff Co., Ltd.",Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/%E3%83%95%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%83%E3%82%AF%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2-at-beff-co-ltd-4347970487?position=11&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=pdKLcHfeTpWydfVhKGl6Qg%3D%3D,Not specified,2025-11-28 09:49:11.083603,2025-11-28,,de.linkedin.com/jobs/view/%E3%83%95%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%83%E3%82%AF%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2-at-beff-co-ltd-4347970487
Senior Aveva PI Engineer,Deep Digital Solutions Group,"Baden-Württemberg, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/senior-aveva-pi-engineer-at-deep-digital-solutions-group-4339405518?position=13&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=WcoSnSY2NmaOfYKXbAR%2FWQ%3D%3D,Not specified,2025-11-28 09:49:11.083857,2025-11-27,,de.linkedin.com/jobs/view/senior-aveva-pi-engineer-at-deep-digital-solutions-group-4339405518
Requirements Engineer (all genders),adesso SE,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/requirements-engineer-all-genders-at-adesso-se-3925560177?position=14&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=o4lctls5b4KHBbWZtqSq3A%3D%3D,Not specified,2025-11-28 09:49:11.083982,2025-11-27,,de.linkedin.com/jobs/view/requirements-engineer-all-genders-at-adesso-se-3925560177
Software Developer Datenmigration (all genders),adesso SE,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/software-developer-datenmigration-all-genders-at-adesso-se-4294595596?position=15&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=Gm2wHYkFs5JH2XqYjQFpxw%3D%3D,Not specified,2025-11-28 09:49:11.084106,2025-11-27,,de.linkedin.com/jobs/view/software-developer-datenmigration-all-genders-at-adesso-se-4294595596
V.I.E Absolvent Softwareentwicklung (all gender),ALTEN,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/v-i-e-absolvent-softwareentwicklung-all-gender-at-alten-4348021313?position=16&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=NNKr1DxBYy4Bvxt3cvLmqw%3D%3D,Not specified,2025-11-28 09:49:11.084230,2025-11-28,,de.linkedin.com/jobs/view/v-i-e-absolvent-softwareentwicklung-all-gender-at-alten-4348021313
TYPO3 Developer (m/w/d),Neuffer Fenster + Türen GmbH,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/typo3-developer-m-w-d-at-neuffer-fenster-%2B-t%C3%BCren-gmbh-4347708330?position=17&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=i07fP4Zn0X6QC3%2FBsjcsKg%3D%3D,Not specified,2025-11-28 09:49:11.084356,2025-11-27,,de.linkedin.com/jobs/view/typo3-developer-m-w-d-at-neuffer-fenster-%2B-t%C3%BCren-gmbh-4347708330
Full Stack Engineer (all genders),adesso SE,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/full-stack-engineer-all-genders-at-adesso-se-3733044545?position=21&pageNum=0&refId=QTmxnFP96Jm4VAb8v9u7sg%3D%3D&trackingId=4vAueHK%2FIMCjwSobyszbSA%3D%3D,Not specified,2025-11-28 09:49:11.084857,2025-11-27,,de.linkedin.com/jobs/view/full-stack-engineer-all-genders-at-adesso-se-3733044545
