title,company,location,source,url,salary,scraped_at,job_id
Senior Data Engineer (f/m/x),LiveEO,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-engineer-f-m-x-at-liveeo-4282147637?position=28&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=ElbX9IOPjbMNumXOUpiJMg%3D%3D,Not specified,2025-08-08 15:25:58.418215,de.linkedin.com/jobs/view/senior-data-engineer-f-m-x-at-liveeo-4282147637
Data Warehouse Business Analyst:in / Data Modeler,HDI Group,"Hannover, Lower Saxony, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-warehouse-business-analyst-in-data-modeler-at-hdi-group-4121112060?position=32&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=oBuqMtnDNoIv0mTAXF9dHQ%3D%3D,Not specified,2025-08-08 15:25:58.418380,de.linkedin.com/jobs/view/data-warehouse-business-analyst-in-data-modeler-at-hdi-group-4121112060
Business Intelligence & Pricing Analyst (d/w/m),Ingram Micro,"Munich, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/business-intelligence-pricing-analyst-d-w-m-at-ingram-micro-4281385041?position=33&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=wZ8x1HLedQvCC6zJTItH9w%3D%3D,Not specified,2025-08-08 15:25:58.418421,de.linkedin.com/jobs/view/business-intelligence-pricing-analyst-d-w-m-at-ingram-micro-4281385041
Data Engineer (M/W/D),STI-Consulting,"Munich, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-sti-consulting-4279815655?position=34&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=wyS7wibw3aiw%2FJdZ7EF5uw%3D%3D,Not specified,2025-08-08 15:25:58.418462,de.linkedin.com/jobs/view/data-engineer-m-w-d-at-sti-consulting-4279815655
Data Engineer,World,"Munich, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-at-world-4269126566?position=37&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=vHif2dqYs%2Buv%2B8WqoCSlIw%3D%3D,Not specified,2025-08-08 15:25:58.418584,de.linkedin.com/jobs/view/data-engineer-at-world-4269126566
Senior Web Analyst (m/w/d),BAUHAUS Deutschland,"Mannheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-web-analyst-m-w-d-at-bauhaus-deutschland-4103360289?position=39&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=wMTj28nPfNvzL092sCGvdQ%3D%3D,Not specified,2025-08-08 15:25:58.418664,de.linkedin.com/jobs/view/senior-web-analyst-m-w-d-at-bauhaus-deutschland-4103360289
Data Engineer - Data Publishing (m/f/d),TieTalent,"Hamburg, Hamburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-data-publishing-m-f-d-at-tietalent-4281987463?position=43&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=DCawJx8844V3AxGaD2Qr6A%3D%3D,Not specified,2025-08-08 15:25:58.418832,de.linkedin.com/jobs/view/data-engineer-data-publishing-m-f-d-at-tietalent-4281987463
Commercial Analyst,JD.COM,"Oberhausen, North Rhine-Westphalia, Germany",LinkedIn,https://de.linkedin.com/jobs/view/commercial-analyst-at-jd-com-4281587755?position=44&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=XOlXpCIVeo4i46znYHTtYg%3D%3D,Not specified,2025-08-08 15:25:58.418872,de.linkedin.com/jobs/view/commercial-analyst-at-jd-com-4281587755
Data Engineer/Consultant (m/w/d),Billigence,Germany,LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-consultant-m-w-d-at-billigence-4281657935?position=45&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=EQREC5Wqu9jrS9V%2BHKRjmQ%3D%3D,Not specified,2025-08-08 15:25:58.418914,de.linkedin.com/jobs/view/data-engineer-consultant-m-w-d-at-billigence-4281657935
MS Power BI Consultant (m/w/d),GULP – experts united,"Hamburg, Hamburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ms-power-bi-consultant-m-w-d-at-gulp-%E2%80%93-experts-united-4281691385?position=47&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=bDjnY%2BU5GmAgyvm%2BqKjr5w%3D%3D,Not specified,2025-08-08 15:25:58.418996,de.linkedin.com/jobs/view/ms-power-bi-consultant-m-w-d-at-gulp-%E2%80%93-experts-united-4281691385
Data Engineer (w/m/d),GDV Gesamtverband der Deutschen Versicherungswirtschaft e.V.,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-w-m-d-at-gdv-gesamtverband-der-deutschen-versicherungswirtschaft-e-v-4282143079?position=48&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=%2BNhSRiodXNAZmzGPN7R7lg%3D%3D,Not specified,2025-08-08 15:25:58.419039,de.linkedin.com/jobs/view/data-engineer-w-m-d-at-gdv-gesamtverband-der-deutschen-versicherungswirtschaft-e-v-4282143079
Data Engineer Stammdatenmanagement (m/w/d),top itservices AG,"Cologne, North Rhine-Westphalia, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-stammdatenmanagement-m-w-d-at-top-itservices-ag-4282154866?position=49&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=gukhgddNh7TrXBM1dzjgCQ%3D%3D,Not specified,2025-08-08 15:25:58.419079,de.linkedin.com/jobs/view/data-engineer-stammdatenmanagement-m-w-d-at-top-itservices-ag-4282154866
"Analyst, Technology M&A",Lincoln International,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/analyst-technology-m-a-at-lincoln-international-4281367665?position=52&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=1Po8GdTrJGSeEEKa3f54mA%3D%3D,Not specified,2025-08-08 15:25:58.419202,de.linkedin.com/jobs/view/analyst-technology-m-a-at-lincoln-international-4281367665
(Junior) Cloud Data Engineer (all genders),DYMATRIX,"Karlsruhe, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-cloud-data-engineer-all-genders-at-dymatrix-4279888399?position=53&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=PK9QhY%2Bv7Pqjm6HKkojMNw%3D%3D,Not specified,2025-08-08 15:25:58.419242,de.linkedin.com/jobs/view/junior-cloud-data-engineer-all-genders-at-dymatrix-4279888399
Junior Professional Cybersecurity Reporting & Analytics (gn),TieTalent,"Neckarsulm, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-professional-cybersecurity-reporting-analytics-gn-at-tietalent-4282123725?position=54&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=5FBT1BZ55uGATyEOsTCLvA%3D%3D,Not specified,2025-08-08 15:25:58.419282,de.linkedin.com/jobs/view/junior-professional-cybersecurity-reporting-analytics-gn-at-tietalent-4282123725
SAS Engineer,Linnk Group,Germany,LinkedIn,https://de.linkedin.com/jobs/view/sas-engineer-at-linnk-group-4281644927?position=56&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=ZYlTHeXgLjtxj%2FTV9StIdw%3D%3D,Not specified,2025-08-08 15:25:58.419364,de.linkedin.com/jobs/view/sas-engineer-at-linnk-group-4281644927
Data Engineer* / Machine Learning Engineer*,inovex GmbH,Greater Hamburg Area,LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-machine-learning-engineer-at-inovex-gmbh-4154558271?position=58&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=7rxXo9XuEc%2FIGWogHcOu%2Fw%3D%3D,Not specified,2025-08-08 15:25:58.419446,de.linkedin.com/jobs/view/data-engineer-machine-learning-engineer-at-inovex-gmbh-4154558271
Senior Data Engineer(f/m/x),LiveEO,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-engineer-f-m-x-at-liveeo-4279884580?position=60&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=kQG7XLzzMJ%2B44KbzIcV2TQ%3D%3D,Not specified,2025-08-08 15:25:58.419528,de.linkedin.com/jobs/view/senior-data-engineer-f-m-x-at-liveeo-4279884580
