title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Machine Learning Engineer,ai-coustics,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/machine-learning-engineer-at-ai-coustics-4299574154?position=1&pageNum=0&refId=UrwQJHH17W9c5YA0wsQbMw%3D%3D&trackingId=epEY3OfHWRuCX8eZNPUqfg%3D%3D,Not specified,2025-09-17 10:29:19.846855,2025-09-16,,de.linkedin.com/jobs/view/machine-learning-engineer-at-ai-coustics-4299574154
Senior AI Engineer,RepRisk,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-ai-engineer-at-reprisk-4292648583?position=4&pageNum=0&refId=UrwQJHH17W9c5YA0wsQbMw%3D%3D&trackingId=8CScRtiCg0WODK90duSvtQ%3D%3D,Not specified,2025-09-17 10:29:19.847404,2025-09-16,,de.linkedin.com/jobs/view/senior-ai-engineer-at-reprisk-4292648583
Staff AI Agent Engineer,Zendesk,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/staff-ai-agent-engineer-at-zendesk-4299503324?position=6&pageNum=0&refId=UrwQJHH17W9c5YA0wsQbMw%3D%3D&trackingId=akak4jdyiSlqr0wU%2BGOCIA%3D%3D,Not specified,2025-09-17 10:29:19.847724,2025-09-16,,de.linkedin.com/jobs/view/staff-ai-agent-engineer-at-zendesk-4299503324
