title,company,location,source,url,salary,scraped_at
Entwicklungsingenieur:in,be partner Group,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/entwicklungsingenieur-in-at-be-partner-group-4281605673?position=22&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=IwTtLa1SHD0azdopZ5MUsg%3D%3D,Not specified,2025-08-08 10:21:08.443712
Solutions Architect,MongoDB,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/solutions-architect-at-mongodb-4267530888?position=23&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=gBe%2BdnNvfdKzvEBYknWYdA%3D%3D,Not specified,2025-08-08 10:21:08.443755
Abiturientenprogramm zum Geprüften Handelsfachwirt (m/w/d) Göppingen,NKD Deutschland GmbH,"Göppingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/abiturientenprogramm-zum-gepr%C3%BCften-handelsfachwirt-m-w-d-g%C3%B6ppingen-at-nkd-deutschland-gmbh-4281905170?position=24&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=dhbDBnfBT8u%2FHTILpaQm%2Bg%3D%3D,Not specified,2025-08-08 10:21:08.443799
"Founding Engineer (Full-Stack, TypeScript / AWS, RAG) – Stuttgart Area / Hybrid",Conzai,"Bietigheim-Bissingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/founding-engineer-full-stack-typescript-aws-rag-%E2%80%93-stuttgart-area-hybrid-at-conzai-4281486887?position=26&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=Gqt0b9MSEavunzDrERJxaw%3D%3D,Not specified,2025-08-08 10:21:08.443887
Services Solutions Principal Transformation (m I f I d) - Public Customers,Dell Technologies,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/services-solutions-principal-transformation-m-i-f-i-d-public-customers-at-dell-technologies-4281304849?position=28&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=6rXprG4y9bhKAKXjjzfM2A%3D%3D,Not specified,2025-08-08 10:21:08.443977
Praktikant*in IT Medienkommunikation (Pflicht-Praktikum),Mercedes-Benz Group AG,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/praktikant-in-it-medienkommunikation-pflicht-praktikum-at-mercedes-benz-group-ag-4279873228?position=30&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=ZtsQH0CgWSr3NQgAcvBhSQ%3D%3D,Not specified,2025-08-08 10:21:08.444073
Solution Architect Manufacturing MSD365 (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/solution-architect-manufacturing-msd365-m-w-d-bundesweit-at-hso-4281580643?position=31&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=4k5Gt%2B%2Fu0Q5Ekujl2409WA%3D%3D,Not specified,2025-08-08 10:21:08.444121
Entwicklungsingenieur HV-Batterien - Erprobung Zellmodule (m/w/d),Catella Engineering GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/entwicklungsingenieur-hv-batterien-erprobung-zellmodule-m-w-d-at-catella-engineering-gmbh-4279458877?position=32&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=6K0jcFXFVDhNSn9cnjfqgg%3D%3D,Not specified,2025-08-08 10:21:08.444164
Senior Frontend Developer (Angular)(remote),Cytolytics,"Tübingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-frontend-developer-angular-remote-at-cytolytics-4281657183?position=33&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=Gr4VYRPFoZkUS5eF1%2FBuiQ%3D%3D,Not specified,2025-08-08 10:21:08.444207
Senior Frontend Developer (m/w/d),Blockbrain,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-frontend-developer-m-w-d-at-blockbrain-4281641672?position=34&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=3Zcq4tBMyln2jkmYSJq39w%3D%3D,Not specified,2025-08-08 10:21:08.444249
Consultant Financial Risk Management (m/w/d),Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-financial-risk-management-m-w-d-at-deloitte-4243067080?position=35&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=BIRA3C3nk9umsyu7Ba4nYQ%3D%3D,Not specified,2025-08-08 10:21:08.444295
Vermessungstechnikerin / Vermessungstechniker  oder Geomatikerin / Geomatiker (w/m/d),Landesamt für Geoinformation und Landentwicklung Baden-Württemberg,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/vermessungstechnikerin-vermessungstechniker-oder-geomatikerin-geomatiker-w-m-d-at-landesamt-f%C3%BCr-geoinformation-und-landentwicklung-baden-w%C3%BCrttemberg-4280164250?position=36&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=54qFg7CIg1oiQVRnUdcNDQ%3D%3D,Not specified,2025-08-08 10:21:08.444338
Solution Architect Professional Services MSD365 (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/solution-architect-professional-services-msd365-m-w-d-bundesweit-at-hso-4281582280?position=38&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=B4Vz25NLcqonH1eQamBahQ%3D%3D,Not specified,2025-08-08 10:21:08.444424
Project Lead – Toolhive,Sandvik,"Tübingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/project-lead-%E2%80%93-toolhive-at-sandvik-4266479511?position=39&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=dxcD%2BTdiFmkG4hy5DtByDA%3D%3D,Not specified,2025-08-08 10:21:08.444468
