title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
(Senior) Consultant Data Science - AI and Data (w/m/d),EY,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-data-science-ai-and-data-w-m-d-at-ey-4290772211?position=9&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=gMo1NXEiQx7YB6pIP2UCSw%3D%3D,Not specified,2025-09-24 14:50:43.217520,2025-09-20,,de.linkedin.com/jobs/view/senior-consultant-data-science-ai-and-data-w-m-d-at-ey-4290772211
Data Engineer,YouGov,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-at-yougov-4301778528?position=12&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=ejPNg67U43ONOjFTE8%2F9sw%3D%3D,Not specified,2025-09-24 14:50:43.217979,2025-09-17,,de.linkedin.com/jobs/view/data-engineer-at-yougov-4301778528
Junior Softwareentwickler (m/w/d) Android,codemanufaktur GmbH,"Erlangen, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-softwareentwickler-m-w-d-android-at-codemanufaktur-gmbh-4301494369?position=13&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=m%2Ficf84A9i2HrGCNIM4Fqg%3D%3D,Not specified,2025-09-24 14:50:43.218127,2025-09-20,,de.linkedin.com/jobs/view/junior-softwareentwickler-m-w-d-android-at-codemanufaktur-gmbh-4301494369
Sports Data Consultant (all genders),adesso SE,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/sports-data-consultant-all-genders-at-adesso-se-4151470880?position=17&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=GixE2CD6ONohS1o9ZG0i4w%3D%3D,Not specified,2025-09-24 14:50:43.218741,2025-09-20,,de.linkedin.com/jobs/view/sports-data-consultant-all-genders-at-adesso-se-4151470880
IT-Consultant (m/w/d),MID GmbH,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/it-consultant-m-w-d-at-mid-gmbh-4304655183?position=20&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=eK6UOugR5oBynKLiOvXl9g%3D%3D,Not specified,2025-09-24 14:50:43.219201,2025-09-23,,de.linkedin.com/jobs/view/it-consultant-m-w-d-at-mid-gmbh-4304655183
Mitarbeiter (m/w/d) Project Management Office (PMO),codemanufaktur GmbH,"Erlangen, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/mitarbeiter-m-w-d-project-management-office-pmo-at-codemanufaktur-gmbh-4300312532?position=24&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=w1GnDYnxNEGzmKuyOmxKmw%3D%3D,Not specified,2025-09-24 14:50:43.219808,2025-09-17,,de.linkedin.com/jobs/view/mitarbeiter-m-w-d-project-management-office-pmo-at-codemanufaktur-gmbh-4300312532
Senior IT Expert Data Analytics (m/w/d),BWI GmbH,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-it-expert-data-analytics-m-w-d-at-bwi-gmbh-4303074519?position=25&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=IkApVXHjhqSiPfAJBu3Pig%3D%3D,Not specified,2025-09-24 14:50:43.219961,2025-09-19,,de.linkedin.com/jobs/view/senior-it-expert-data-analytics-m-w-d-at-bwi-gmbh-4303074519
Senior IT Expert Data Analytics (m/w/d),BWI GmbH,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-it-expert-data-analytics-m-w-d-at-bwi-gmbh-4303082385?position=26&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=vhQ0ODcrRLk7BhtWUMyyjQ%3D%3D,Not specified,2025-09-24 14:50:43.220113,2025-09-19,,de.linkedin.com/jobs/view/senior-it-expert-data-analytics-m-w-d-at-bwi-gmbh-4303082385
Software Architect Azure AI (all genders),adesso SE,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-architect-azure-ai-all-genders-at-adesso-se-4180521885?position=30&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=77v0vcJdY67G%2FqtCVKYtrQ%3D%3D,Not specified,2025-09-24 14:50:43.220721,2025-09-23,,de.linkedin.com/jobs/view/software-architect-azure-ai-all-genders-at-adesso-se-4180521885
AI Data Annotation Specialist with German,TELUS Digital AI Data Solutions,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-data-annotation-specialist-with-german-at-telus-digital-ai-data-solutions-4304972594?position=32&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=%2BPhO49TFyaknQ4mH%2B3X90A%3D%3D,Not specified,2025-09-24 14:50:43.221031,2025-09-23,,de.linkedin.com/jobs/view/ai-data-annotation-specialist-with-german-at-telus-digital-ai-data-solutions-4304972594
Expert Architect (w/m/d),IT-Systemhaus der Bundesagentur für Arbeit,"Stein bei Nürnberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/expert-architect-w-m-d-at-it-systemhaus-der-bundesagentur-f%C3%BCr-arbeit-4302935923?position=37&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=QRiCuMXw4rE8UjprLfG94g%3D%3D,Not specified,2025-09-24 14:50:43.221788,2025-09-24,,de.linkedin.com/jobs/view/expert-architect-w-m-d-at-it-systemhaus-der-bundesagentur-f%C3%BCr-arbeit-4302935923
Expert Architect (w/m/d),IT-Systemhaus der Bundesagentur für Arbeit,"Nuremberg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/expert-architect-w-m-d-at-it-systemhaus-der-bundesagentur-f%C3%BCr-arbeit-4305548485?position=38&pageNum=0&refId=EDXbqHfYGJgW%2FjVJq4YUyw%3D%3D&trackingId=fmRETIj1QawSuOY1%2F3Wqdg%3D%3D,Not specified,2025-09-24 14:50:43.221941,2025-09-24,,de.linkedin.com/jobs/view/expert-architect-w-m-d-at-it-systemhaus-der-bundesagentur-f%C3%BCr-arbeit-4305548485
